ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
 ,LOS ANGELES,2513002030,2016,16,2513-002-030,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19970916,387.0,1975,0.0,1975,387.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,387.0,0.0,387.0, ,3,3126,TRACT # 26075 LOT   26,0, , , , , ,,20162513002030,34.30378543,-118.43151154,"(34.30378543, -118.43151154)"
 ,BURBANK    ,2482012004,2016,2530,2482-012-004,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20150218,304575.0,2015,0.0,2015,304575.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,304575.0,0.0,304575.0, ,3,3183,TRACT NO 10141 LOT   41,0, , , , , ,,20162482012004,34.15459719,-118.34091962,"(34.15459719, -118.34091962)"
 ,BURBANK    ,2485001014,2016,2530,2485-001-014,,VAC,100V,Commercial,Commercial, ,Vacant Land,0,0,0,0,0,0,0,19990402,54029.0,1975,0.0,1975,54029.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,54029.0,0.0,54029.0, ,23,23667,TRACT # 9517 E 25 FT OF LOT   20,0, , , , , ,,20162485001014,34.15252149,-118.34856035,"(34.15252149, -118.34856035)"
 ,BURBANK    ,2485001015,2016,2530,2485-001-015,,VAC,100V,Commercial,Commercial, ,Vacant Land,0,0,0,0,0,0,0,19990402,108498.0,1975,0.0,1975,108498.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,108498.0,0.0,108498.0, ,23,23667,TRACT NO 9517 LOT   21,0, , , , , ,,20162485001015,34.15252138,-118.3484385,"(34.15252138, -118.34843850)"
 ,BURBANK    ,2485001016,2016,2530,2485-001-016,,VAC,100V,Commercial,Commercial, ,Vacant Land,0,0,0,0,0,0,0,19990402,108498.0,1975,0.0,1975,108498.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,108498.0,0.0,108498.0, ,23,23667,TRACT NO 9517 LOT   22,0, , , , , ,,20162485001016,34.15252191,-118.34827448,"(34.15252191, -118.34827448)"
 ,LOS ANGELES,2501020108,2016,16,2501-020-108,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20140812,208126.0,2015,0.0,2015,208126.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,208126.0,0.0,208126.0, ,3,3125,P M 214-58-59 LOT B,0, , , , , ,,20162501020108,34.31632226,-118.46355049,"(34.31632226, -118.46355049)"
 ,LOS ANGELES,2511012012,2016,16,2511-012-012,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20010427,63638.0,2001,0.0,2001,63638.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,63638.0,0.0,63638.0, ,3,3123,TRACT # 9595 LOT   17,0, , , , , ,,20162511012012,34.32456988,-118.42290517,"(34.32456988, -118.42290517)"
 ,LOS ANGELES,2511023010,2016,16,2511-023-010,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20080926,4863.0,1997,0.0,1997,4863.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,4863.0,0.0,4863.0, ,3,3123,TRACT # 9292 SE 30 FT OF LOT   35,0, , , , , ,,20162511023010,34.31909074,-118.42130391,"(34.31909074, -118.42130391)"
 ,LOS ANGELES,2512008900,2016,16,2512-008-900,,SFR,0100,Residential,Single Family Residence, , ,0,0,0,0,0,0,0,19681126,0.0,1975,0.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,Public (non-taxable government-owned),3,3123,TRACT NO 25146 LOT   62,0, , , , , ,,20162512008900,34.30621771,-118.42135885,"(34.30621771, -118.42135885)"
 ,LOS ANGELES,2512008901,2016,16,2512-008-901,,SFR,0100,Residential,Single Family Residence, , ,0,0,0,0,0,0,0,19681126,0.0,1975,0.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,Public (non-taxable government-owned),3,3123,TRACT NO 25146   (EX OF ST) LOT   65,0, , , , , ,,20162512008901,34.30739375,-118.4215625,"(34.30739375, -118.42156250)"
 ,LOS ANGELES,2512009902,2016,16,2512-009-902,,SFR,0100,Residential,Single Family Residence, , ,0,0,0,0,0,0,0,19690923,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,Public (non-taxable government-owned),3,3123,TR=26106 POR LOT 14,0, , , , , ,,20162512009902,34.30747004,-118.42250352,"(34.30747004, -118.42250352)"
